"YEAR","MONTH","LCR"
1993,5,0.0615366919714746
1993,6,0.0574534161490683
1993,7,0.0785131987577639
1993,8,0.0646307798481711
1993,9,0.0798437186936485
1993,10,0.101516062245375
1993,11,0.0814699792960663
1993,12,0.0488879983971148
1994,1,0.0583717357910906
1994,2,0.0466195473691725
1994,3,0.0342616710078141
1994,4,0.0372670807453416
1994,5,0.0397048019768917
1994,6,0.0511732229123533
1994,7,0.0585533126293996
1994,8,0.0657349896480331
1994,9,0.0686569157817404
1994,10,0.0556668670273158
1994,11,0.0500345065562457
1994,12,0.0377679823682629
1995,1,0.0157283109597275
1995,2,0.0596844434925394
1995,3,0.0609764242302811
1995,4,0.0448092280390417
1995,5,0.064082014292393
1995,6,0.0687370600414078
1995,7,0.0756987577639751
1995,8,0.0703588681849551
1995,9,0.0602417685166633
1995,10,0.0464168837240366
1995,11,0.0470324361628709
1995,12,0.0516596540439457
1996,1,0.0438455887263741
1996,2,0.0462732919254658
1996,3,0.0372002938622854
1996,4,0.0572213893053473
1996,5,0.0368663594470046
1996,6,0.0472739820565907
1996,7,0.0336762422360248
1996,8,0.0599378881987577
1996,9,0.0572363587791358
1996,10,0.041007146196487
1996,11,0.0474120082815735
1996,12,0.0360315234088025
1997,1,0.0466528640441684
1997,2,0.0383379738702077
1997,3,0.0330929005543311
1997,4,0.020703933747412
1997,5,0.0353970480197689
1997,6,0.0289510006901311
1997,7,0.0463250517598344
1997,8,0.0387853692201518
1997,9,0.0479195885928004
1997,10,0.054164162158552
1997,11,0.045376121463078
1997,12,0.0368329660054765
1998,1,-0.0118212783009417
1998,2,0.0114228599985721
1998,3,0.0306885727643091
1998,4,0.0195947944395149
1998,5,0.0216723435517264
1998,6,0.0558661145617667
1998,7,0.0631146480331263
1998,8,0.0504485852311939
1998,9,0.0795431777198958
1998,10,0.0744005877245709
1998,11,0.0692891649413388
1998,12,0.055733653910372
1999,1,0.0673211781206171
1999,2,0.0597558363675305
1999,3,0.0473185066452948
1999,4,0.0598565513161786
1999,5,0.068089227275763
1999,6,0.0510351966873706
1999,7,0.0608825051759834
1999,8,0.0730848861283644
1999,9,0.0756027516195819
1999,10,0.0653175716289321
1999,11,0.0642512077294686
1999,12,0.0538636211847993
2000,1,0.0320910973084886
2000,2,0.0500690131124914
2000,3,0.0511587524210245
2000,4,0.0571142999928607
2000,5,0.0606758832565284
2000,6,0.0554520358868185
2000,7,0.0599767080745341
2000,8,0.0681159420289855
2000,9,0.0782074400587724
2000,10,0.0769718827222333
2000,11,0.0603174603174603
2000,12,0.0659186535764376
2001,1,0.0410282953761214
2001,2,0.0269865067466267
2001,3,0.0231416549789621
2001,4,0.0286897367642709
2001,5,0.0456822280104187
2001,6,0.0594547964113181
2001,7,0.0602678571428571
2001,8,0.0600069013112491
2001,9,0.0659520470179656
2001,10,0.0511921458625526
2001,11,0.0540372670807453
2001,12,0.0548988178721699
2002,1,0.0852868496627262
2002,2,0.0694652673663168
2002,3,0.062512522540573
2002,4,0.0515749778172138
2002,5,0.0571695718960796
2002,6,0.0579710144927536
2002,7,0.0649262422360248
2002,8,0.0662870945479641
2002,9,0.0722634074667735
2002,10,0.0620784078007079
2002,11,0.0385783298826777
2002,12,0.0224403927068724
2003,1,0.0393708675616109
2003,2,0.0581138002427358
2003,3,0.0594737193615174
2003,4,0.0634427684117125
2003,5,0.0627796700727977
2003,6,0.059799861973775
2003,7,0.0650232919254658
2003,8,0.0595238095238095
2003,9,0.0587056702063714
2003,10,0.0646163093568423
2003,11,0.0602484472049689
2003,12,0.0669204568222801
2004,1,0.046583850931677
2004,2,0.0281573498964803
2004,3,0.0237427369264676
2004,4,0.0191689869351039
2004,5,0.0666533092900554
2004,6,0.0687025534851622
2004,7,0.0762487060041408
2004,8,0.0786749482401656
2004,9,0.0586388833233153
2004,10,0.0619448340345956
2004,11,0.0570048309178744
2004,12,0.0547986375475856
2005,1,0.0779848171152518
2005,2,0.057399871492825
2005,3,0.045381687036666
2005,4,0.0618160307601301
2005,5,0.0707607025980097
2005,6,0.0516218081435473
2005,7,0.0639880952380952
2005,8,0.0657004830917874
2005,9,0.0516596540439457
2005,10,0.070493555065785
